,date,application_date,application_received,application_evaluation,certificate,manager_review_data,interview_date,offer_date
147,2019-12-26,150.0,0.0,0.0,0.0,0.0,0.0,0.0
148,2019-12-27,150.0,0.0,0.0,0.0,0.0,0.0,0.0
149,2019-12-28,150.0,0.0,0.0,0.0,0.0,0.0,0.0
150,2019-12-29,150.0,0.0,0.0,0.0,0.0,0.0,0.0
151,2019-12-30,150.0,1050.0,901.0,375.0,341.0,511.0,444.0
152,2019-12-31,150.0,150.0,150.0,0.0,0.0,172.0,0.0
153,2020-01-01,150.0,0.0,0.0,0.0,0.0,0.0,0.0
154,2020-01-02,150.0,300.0,300.0,0.0,0.0,0.0,0.0
155,2020-01-03,150.0,150.0,0.0,300.0,273.0,0.0,0.0
156,2020-01-04,150.0,0.0,0.0,0.0,0.0,0.0,0.0
157,2020-01-05,150.0,0.0,0.0,0.0,0.0,0.0,0.0
158,2020-01-06,150.0,450.0,412.0,1051.0,955.0,0.0,683.0
159,2020-01-07,150.0,150.0,37.0,412.0,374.0,0.0,0.0
160,2020-01-08,150.0,150.0,0.0,37.0,34.0,0.0,0.0
161,2020-01-09,150.0,150.0,0.0,0.0,0.0,0.0,0.0
162,2020-01-10,150.0,150.0,0.0,0.0,0.0,0.0,0.0
163,2020-01-11,150.0,0.0,0.0,0.0,0.0,0.0,0.0
164,2020-01-12,150.0,0.0,0.0,0.0,0.0,0.0,0.0
165,2020-01-13,150.0,450.0,450.0,0.0,0.0,137.0,0.0
166,2020-01-14,150.0,150.0,375.0,450.0,409.0,0.0,0.0
167,2020-01-15,150.0,150.0,450.0,375.0,341.0,0.0,109.0
168,2020-01-16,150.0,150.0,562.0,450.0,409.0,648.0,0.0
169,2020-01-17,150.0,150.0,414.0,562.0,510.0,187.0,0.0
170,2020-01-18,150.0,0.0,0.0,0.0,0.0,0.0,0.0
171,2020-01-19,150.0,0.0,0.0,0.0,0.0,0.0,0.0
172,2020-01-20,150.0,0.0,0.0,0.0,0.0,0.0,0.0
173,2020-01-21,150.0,450.0,450.0,414.0,377.0,17.0,669.0
174,2020-01-22,150.0,150.0,450.0,450.0,409.0,0.0,0.0
175,2020-01-23,150.0,150.0,150.0,450.0,409.0,0.0,13.0
176,2020-01-24,150.0,150.0,150.0,150.0,137.0,204.0,0.0
177,2020-01-25,150.0,0.0,0.0,0.0,0.0,0.0,0.0
178,2020-01-26,150.0,0.0,0.0,0.0,0.0,0.0,0.0
179,2020-01-27,150.0,450.0,300.0,150.0,136.0,630.0,163.0
180,2020-01-28,150.0,150.0,0.0,300.0,273.0,0.0,0.0
181,2020-01-29,150.0,150.0,0.0,0.0,0.0,0.0,505.0
182,2020-01-30,150.0,150.0,225.0,0.0,0.0,0.0,0.0
183,2020-01-31,150.0,150.0,224.0,225.0,204.0,188.0,0.0
184,2020-02-01,150.0,0.0,0.0,0.0,0.0,0.0,0.0
185,2020-02-02,150.0,0.0,0.0,0.0,0.0,0.0,0.0
186,2020-02-03,150.0,450.0,450.0,224.0,204.0,478.0,150.0
187,2020-02-04,150.0,150.0,0.0,450.0,409.0,0.0,0.0
188,2020-02-05,150.0,150.0,0.0,0.0,0.0,0.0,382.0
189,2020-02-06,150.0,150.0,450.0,0.0,0.0,68.0,0.0
190,2020-02-07,150.0,150.0,150.0,450.0,409.0,137.0,0.0
191,2020-02-08,150.0,0.0,0.0,0.0,0.0,0.0,0.0
192,2020-02-09,150.0,0.0,0.0,0.0,0.0,0.0,0.0
193,2020-02-10,150.0,450.0,450.0,150.0,137.0,102.0,164.0
194,2020-02-11,150.0,150.0,0.0,450.0,409.0,0.0,0.0
195,2020-02-12,150.0,150.0,0.0,0.0,0.0,0.0,82.0
